actual_sentiment	id	predicted_sentiment
0	"4070_1"	0
0	"3947_2"	0
1	"9422_9"	1
1	"4459_7"	1
0	"11276_1"	0
0	"705_2"	0
1	"12146_7"	1
1	"5742_10"	1
0	"3724_1"	1
0	"2216_1"	0
1	"12374_7"	1
1	"12171_7"	1
1	"6441_9"	1
0	"1715_3"	0
0	"903_3"	0
0	"943_2"	0
0	"1452_1"	0
1	"3546_10"	1
0	"2800_1"	0
1	"5266_10"	1
0	"11191_3"	0
1	"1023_10"	1
1	"5655_7"	1
1	"3733_10"	1
0	"270_1"	0
0	"12101_4"	0
1	"3278_8"	1
0	"11514_1"	1
0	"10856_2"	0
1	"5570_10"	1
0	"3315_1"	0
1	"6753_7"	1
0	"7745_1"	0
0	"9551_1"	0
0	"138_4"	0
1	"5397_9"	1
0	"6440_3"	0
0	"11177_3"	0
1	"5133_10"	1
1	"5483_10"	0
0	"6106_1"	0
1	"7265_8"	0
0	"9428_2"	0
0	"994_3"	0
1	"8305_7"	1
1	"5411_10"	1
1	"11013_7"	1
0	"2487_1"	0
1	"12404_9"	1
0	"7767_2"	0
1	"12016_7"	0
1	"6316_8"	1
1	"1731_10"	1
0	"74_3"	1
1	"3294_9"	1
1	"328_10"	0
1	"468_7"	1
0	"4773_1"	0
0	"7348_3"	1
0	"2484_1"	0
1	"8309_7"	0
1	"2291_7"	1
1	"3192_10"	1
1	"11181_10"	1
0	"2784_1"	0
1	"7100_8"	1
0	"10355_1"	1
1	"11983_10"	1
0	"9531_1"	0
1	"5214_7"	1
0	"2229_1"	0
1	"3682_8"	1
0	"296_2"	0
0	"4810_3"	0
1	"11242_9"	1
1	"9442_10"	0
0	"6228_1"	0
1	"5044_9"	1
0	"2941_4"	1
1	"2024_9"	1
1	"7824_10"	1
1	"8753_8"	1
1	"4543_7"	0
1	"10842_7"	0
1	"5723_7"	0
0	"10340_1"	0
0	"10453_1"	0
0	"9022_3"	0
0	"4620_1"	0
0	"4399_4"	0
1	"2551_9"	1
0	"992_1"	0
1	"2768_8"	1
1	"498_10"	1
1	"351_10"	0
1	"7105_9"	1
1	"9360_10"	1
1	"7475_7"	1
0	"2053_1"	1
0	"1640_1"	0
1	"2698_8"	1
0	"9543_4"	0
1	"1785_9"	1
1	"6427_10"	0
0	"10392_3"	0
1	"9871_7"	1
1	"2801_9"	0
1	"4038_10"	1
0	"7874_2"	0
1	"5804_10"	0
1	"8175_7"	0
1	"10480_10"	1
1	"9795_7"	1
0	"9182_1"	0
1	"2786_7"	1
0	"2380_1"	0
0	"8285_1"	0
1	"7685_10"	1
0	"9243_4"	0
0	"5168_1"	0
1	"6187_9"	0
1	"2383_9"	0
0	"11264_1"	0
1	"3619_8"	1
0	"12117_4"	0
1	"4586_7"	0
0	"8921_4"	0
0	"730_1"	0
0	"11660_1"	0
1	"7171_10"	1
0	"3693_1"	0
1	"1112_8"	1
0	"10837_1"	0
1	"8761_10"	1
0	"4890_4"	1
0	"7990_4"	0
0	"12103_3"	0
1	"2565_9"	1
0	"9161_1"	0
1	"10886_10"	0
0	"6993_1"	0
1	"5182_8"	1
0	"7465_1"	0
0	"3266_1"	0
0	"12399_3"	1
0	"4050_4"	0
1	"563_10"	1
0	"4005_3"	0
1	"1604_9"	1
0	"9299_3"	0
1	"8865_10"	1
0	"8047_2"	0
0	"10587_1"	0
1	"56_10"	1
1	"6883_9"	1
1	"3008_7"	1
0	"3880_2"	0
0	"7992_4"	0
1	"5829_10"	1
1	"569_10"	1
0	"11299_4"	0
1	"7765_7"	1
1	"11481_10"	1
0	"9306_1"	0
1	"4880_9"	1
0	"1963_4"	0
0	"6946_3"	0
0	"9941_2"	0
1	"11676_8"	1
0	"162_4"	0
0	"10475_1"	1
0	"9772_1"	1
1	"644_9"	1
1	"6761_9"	1
1	"9730_8"	0
0	"8837_1"	0
0	"3127_3"	0
1	"8940_9"	1
1	"8248_9"	1
1	"871_9"	1
1	"771_7"	0
0	"1925_1"	0
1	"5285_7"	1
0	"3422_1"	0
0	"1700_4"	1
1	"10374_8"	1
1	"12295_9"	1
1	"3315_10"	1
0	"8344_4"	0
1	"1639_10"	1
0	"4427_1"	0
0	"5797_3"	0
1	"6339_7"	1
1	"12315_9"	1
0	"2087_4"	0
0	"5373_4"	0
0	"10654_1"	0
0	"3891_3"	0
0	"1231_4"	0
0	"1976_1"	0
0	"12315_2"	0
1	"9507_10"	0
1	"5029_8"	1
1	"11302_8"	1
1	"6235_8"	1
0	"8271_1"	0
1	"6950_8"	1
0	"7962_4"	0
0	"2813_1"	0
0	"8065_3"	0
0	"7727_3"	0
0	"6139_1"	0
1	"8687_9"	1
1	"4685_7"	1
1	"8917_7"	0
1	"5796_8"	1
0	"1367_1"	1
1	"9118_10"	1
0	"7498_3"	0
0	"2288_3"	1
1	"4960_9"	1
0	"4163_3"	0
0	"10795_1"	0
0	"8137_4"	0
0	"8418_1"	0
0	"11507_2"	0
1	"8463_9"	1
0	"8166_1"	0
0	"4988_2"	0
0	"1886_1"	0
0	"12202_3"	0
1	"7427_9"	1
1	"10981_8"	1
0	"12228_1"	1
0	"12044_1"	0
0	"1380_1"	0
1	"10878_7"	1
1	"11594_10"	1
1	"6366_8"	0
1	"7749_8"	1
0	"10324_2"	0
0	"1830_1"	0
1	"7454_10"	0
0	"5907_1"	0
0	"9323_2"	0
0	"9226_4"	1
0	"7001_1"	0
1	"5203_7"	0
0	"2961_1"	0
1	"5336_8"	1
1	"747_10"	1
1	"1437_8"	1
0	"4133_1"	0
0	"5856_3"	0
0	"8799_4"	1
0	"156_1"	0
0	"9304_1"	0
1	"2719_10"	0
0	"5082_1"	0
1	"473_9"	1
0	"11424_1"	0
0	"830_1"	0
0	"5243_4"	1
0	"10061_4"	0
1	"10825_9"	1
0	"6152_1"	0
0	"7360_1"	0
0	"9008_1"	0
1	"4463_7"	1
1	"11311_10"	1
1	"8724_10"	1
1	"8511_10"	1
0	"7529_3"	0
0	"6837_3"	0
1	"7500_8"	1
0	"8784_3"	0
1	"12047_10"	1
0	"8739_1"	0
1	"6529_7"	1
1	"11263_10"	1
1	"11702_10"	1
1	"12158_7"	0
1	"1786_7"	1
1	"6027_9"	1
1	"465_10"	1
0	"7538_2"	0
1	"30_7"	1
1	"9214_7"	1
1	"3511_8"	1
0	"640_3"	1
1	"4519_9"	1
1	"5890_8"	1
0	"1921_3"	0
1	"2517_9"	0
0	"7894_1"	0
1	"9917_10"	1
1	"9281_10"	1
1	"1027_8"	1
0	"2500_1"	0
0	"6114_1"	0
0	"9741_1"	0
0	"5571_1"	0
1	"44_8"	1
1	"10523_9"	1
1	"9441_9"	1
1	"1463_10"	1
0	"8368_1"	0
0	"10583_3"	0
1	"10116_10"	1
1	"9430_9"	1
0	"10805_2"	0
0	"6012_1"	0
1	"2228_7"	1
1	"5149_8"	1
1	"333_10"	0
0	"11432_1"	0
1	"11590_10"	1
1	"6144_7"	1
1	"2936_10"	1
0	"9035_4"	0
0	"5760_4"	1
1	"12293_10"	1
0	"1463_1"	0
1	"9806_8"	1
0	"8881_1"	0
0	"7354_4"	0
1	"137_7"	1
1	"10077_10"	1
1	"11441_10"	1
0	"12253_2"	0
0	"10206_3"	0
1	"2657_10"	1
0	"681_1"	0
0	"1363_1"	0
0	"5519_4"	1
0	"9607_4"	0
1	"8445_10"	1
0	"6707_1"	0
1	"6978_8"	1
1	"8517_8"	1
1	"6798_9"	0
0	"11483_2"	0
1	"5568_8"	1
1	"6371_9"	0
0	"4494_1"	0
1	"678_8"	0
0	"4313_4"	0
0	"96_1"	0
1	"969_7"	0
1	"3410_9"	0
0	"1454_1"	0
1	"6481_10"	1
0	"8949_1"	0
0	"883_1"	0
0	"11148_4"	0
1	"7944_9"	1
0	"3444_1"	0
1	"12006_10"	1
0	"8725_3"	0
1	"6522_10"	1
0	"11745_1"	0
1	"9808_9"	0
1	"3984_7"	0
0	"956_1"	0
0	"3156_2"	0
0	"2309_3"	0
1	"5052_10"	1
0	"11107_1"	0
0	"6735_4"	0
0	"910_4"	0
0	"8323_3"	0
1	"2401_8"	1
1	"6694_10"	1
1	"11405_8"	1
0	"12431_1"	0
0	"11136_1"	0
0	"4823_3"	0
1	"7542_10"	1
1	"8059_10"	1
1	"492_7"	1
1	"3963_7"	1
1	"8797_8"	1
1	"7991_7"	1
1	"12298_8"	1
1	"3882_10"	1
1	"2856_10"	1
0	"2560_1"	0
1	"11576_7"	1
1	"3250_9"	0
1	"8467_7"	0
1	"7221_8"	1
1	"373_10"	1
1	"10136_7"	0
1	"8768_8"	1
0	"4961_2"	0
0	"6760_2"	1
0	"8423_4"	0
1	"595_9"	1
0	"1053_4"	0
0	"11867_1"	0
0	"546_2"	0
1	"79_10"	1
